Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",,,,,,
1754,ORIENTALTL,Oriental Trimex Limited,3379,,,,,,
1755,PATINTLOG,Patel Integrated Logistics Limited,3359,,,,,,
1756,SETUINFRA,Setubandhan Infrastructure Limited,3330,,,,,,
1757,CUBEXTUB,Cubex Tubings Limited,3322,,,,,,
1758,REXPIPES,Rex Pipes And Cables Industries Limited,3290,,,,,,
1759,TMRVL,The Mandhana Retail Ventures Limited,3246,,,,,,
1760,SUPREMEINF,Supreme Infrastructure India Limited,3238,,,,,,
1761,LAXMICOT,Laxmi Cotspin Limited,3224,,,,,,
1762,SSINFRA,S.S. Infrastructure Development Consultants Limited,3217,,,,,,
1763,VSCL,Vadivarhe Speciality Chemicals Limited,3196,,,,,,
1764,DKEGL,D.K. Enterprises Global Limited,3191,,,,,,
1765,NEXTMEDIA,Next Mediaworks Limited,3177,,,,,,
1766,KSHITIJPOL,Kshitij Polyline Limited,3176,,,,,,
1767,TIMESCAN,Timescan Logistics (India) Limited,3145,,,,,,
1768,VIVO,Vivo Collaboration Solutions Limited,3139,,,,,,
1769,VIJIFIN,Viji Finance Limited,3135,,,,,,
1770,21STCENMGM,21st Century Management Services Limited,3119,,,,,,
1771,PEARLPOLY,Pearl Polymers Limited,3056,,,,,,
1772,CADSYS,Cadsys (India) Limited,3039,,,,,,
1773,SILGO,Silgo Retail Limited,2968,,,,,,
1774,LGHL,Laxmi Goldorna House Limited,2964,,,,,,
1775,LFIC,Lakshmi Finance & Industrial Corporation Limited,2937,,,,,,
1776,SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited,2887,,,,,,
1777,DNAMEDIA,Diligent Media Corporation Limited,2825,,,,,,
1778,MOHITIND,Mohit Industries Limited,2789,,,,,,
1779,INFOMEDIA,Infomedia Press Limited,2786,,,,,,
1780,GOLDSTAR,Goldstar Power Limited,2701,,,,,,
1781,NARMADA,Narmada Agrobase Limited,2696,,,,,,
1782,TGBHOTELS,TGB Banquets And Hotels Limited,2680,,,,,,
1783,ACEINTEG,Ace Integrated Solutions Limited,2652,,,,,,
1784,SHANTI,Shanti Overseas (India) Limited,2627,,,,,,
1785,3PLAND,3P Land Holdings Limited,2610,,,,,,
1786,ASCOM,Ascom Leasing & Investments Limited,2608,,,,,,
1787,LATTEYS,Latteys Industries Limited,2597,,,,,,
1788,ADL,Archidply Decor Limited,2588,,,,,,
1789,TANTIACONS,Tantia Constructions Limited,2494,,,,,,
1790,KHANDSE,Khandwala Securities Limited,2453,,,,,,
1791,ZENITHSTL,Zenith Steel Pipes & Industries Limited,2419,,,,,,
1792,SOMATEX,Soma Textiles & Industries Limited,2411,,,,,,
1793,UNIINFO,Uniinfo Telecom Services Limited,2369,,,,,,
1794,RKDL,Ravi Kumar Distilleries Limited,2352,,,,,,
1795,RICHA,Richa Info Systems Limited,2333,,,,,,
1796,WILLAMAGOR,Williamson Magor & Company Limited,2301,,,,,,
1797,SILLYMONKS,Silly Monks Entertainment Limited,2287,,,,,,
1798,QUADPRO,Quadpro Ites Limited,2275,,,,,,
1799,METALFORGE,Metalyst Forgings Limited,2265,,,,,,
1800,ANTGRAPHIC,Antarctica Limited,2170,,,,,,
1801,JALAN,Jalan Transolutions (India) Limited,2152,,,,,,
1802,GICL,Globe International Carriers Limited,2146,,,,,,
1803,MITTAL,Mittal Life Style Limited,2128,,,,,,
1804,SIDDHIKA,Siddhika Coatings Limited,2113,,,,,,
1805,SPENTEX,Spentex Industries Limited,2110,,,,,,
1806,AVSL,AVSL Industries Limited,2076,,,,,,
1807,ADROITINFO,Adroit Infotech Limited,2073,,,,,,
1808,DYNAMIC,Dynamic Services & Security Limited,2055,,,,,,
1809,UWCSL,Ultra Wiring Connectivity System Limited,2029,,,,,,
1810,RMCL,Radha Madhav Corporation Limited,2029,,,,,,
1811,KAVVERITEL,Kavveri Telecom Products Limited,2022,,,,,,
1812,PULZ,Pulz Electronics Limited,2017,,,,,,
1813,MPTODAY,Madhya Pradesh Today Media Limited,2008,,,,,,
1814,TFL,Transwarranty Finance Limited,1957,,,,,,
1815,NKIND,NK Industries Limited,1929,,,,,,
1816,GUJRAFFIA,Gujarat Raffia Industries Limited,1892,,,,,,
1817,TNTELE,Tamilnadu Telecommunication Limited,1869,,,,,,
1818,BARTRONICS,Bartronics India Limited,1839,,,,,,
1819,ORTINLAB,Ortin Laboratories Limited,1838,,,,,,
1820,TIJARIA,Tijaria Polypipes Limited,1832,,,,,,
1821,PBAINFRA,PBA Infrastructure Limited,1823,,,,,,
1822,BTML,Bodhi Tree Multimedia Limited,1801,,,,,,
1823,KEERTI,Keerti Knowledge and Skills Limited,1758,,,,,,
1824,TECHIN,Techindia Nirman Limited,1748,,,,,,
1825,KHAITANLTD,Khaitan (India) Limited,1724,,,,,,
1826,IMPEXFERRO,Impex Ferro Tech Limited,1715,,,,,,
1827,LYPSAGEMS,Lypsa Gems & Jewellery Limited,1695,,,,,,
1828,BKMINDST,Bkm Industries Limited,1638,,,,,,
1829,THOMASCOTT,Thomas Scott (India) Limited,1619,,,,,,
1830,SUBCAPCITY,International Constructions Limited,1610,,,,,,
1831,ONELIFECAP,Onelife Capital Advisors Limited,1543,,,,,,
1832,PREMIER,Premier Limited,1519,,,,,,
1833,SPRL,Sp Refractories Limited,1512,,,,,,
1834,S&SPOWER,S&S Power Switchgears Limited,1463,,,,,,
1835,CMMIPL,CMM Infraprojects Limited,1340,,,,,,
1836,VICEROY,Viceroy Hotels Limited,1315,,,,,,
1837,ALPSINDUS,Alps Industries Limited,1291,,,,,,
1838,ABINFRA,A B Infrabuild Limited,1286,,,,,,
1839,VERA,Vera Synthetic Limited,1283,,,,,,
1840,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,1229,,,,,,
1841,WALPAR,Walpar Nutritions Limited,1226,,,,,,
1842,KALYANI,Kalyani Commercials Limited,1193,,,,,,
1843,BRIGHT,Bright Solar Limited,1153,,,,,,
1844,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,1142,,,,,,
1845,SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,1138,,,,,,
1846,SANCO,Sanco Industries Limited,1122,,,,,,
1847,UMESLTD,Usha Martin Education & Solutions Limited,1083,,,,,,
1848,INDLMETER,IMP Powers Limited,1071,,,,,,
1849,MASKINVEST,Mask Investments Limited,1059,,,,,,
1850,SHYAMTEL,Shyam Telecom Limited,1037,,,,,,
1851,CONTI,Continental Seeds and Chemicals Limited,1030,,,,,,
1852,INNOVATIVE,Innovative Tyres and Tubes Limited,999,,,,,,
1853,MINDPOOL,Mindpool Technologies Limited,987,,,,,,
1854,ARENTERP,Rajdarshan Industries Limited,987,,,,,,
1855,RMDRIP,R M Drip and Sprinklers Systems Limited,983,,,,,,
1856,RADAAN,Radaan Mediaworks India Limited,975,,,,,,
1857,PERFECT,Perfect Infraengineers Limited,957,,,,,,
1858,DRL,Dhanuka Realty Limited,936,,,,,,
1859,AHIMSA,Ahimsa Industries Limited,931,,,,,,
1860,BLUECOAST,Blue Coast Hotels Limited,918,,,,,,
1861,DESTINY,Destiny Logistics & Infra Limited,877,,,,,,
1862,CANDC,C & C Constructions Limited,865,,,,,,
1863,ABNINT,A B N Intercorp Limited,839,,,,,,
1864,ACCORD,Accord Synergy Limited,835,,,,,,
1865,FELIX,Felix Industries Limited,830,,,,,,
1866,GLFL,Gujarat Lease Financing Limited,827,,,,,,
1867,SRIRAM,Shri Ram Switchgears Limited,811,,,,,,
1868,CREATIVEYE,Creative Eye Limited,802,,,,,,
1869,EASUNREYRL,Easun Reyrolle Limited,801,,,,,,
1870,TARAPUR,Tarapur Transformers Limited,790,,,,,,
1871,SMVD,SMVD Poly Pack Limited,770,,,,,,
1872,OMFURN,Omfurn India Limited,760,,,,,,
1873,NORBTEAEXP,Norben Tea & Exports Limited,758,,,,,,
1874,TCIFINANCE,TCI Finance Limited,747,,,,,,
1875,SABEVENTS,Sab Events & Governance Now Media Limited,708,,,,,,
1876,SKSTEXTILE,SKS Textiles Limited,684,,,,,,
1877,PAEL,PAE Limited,672,,,,,,
1878,NIRAJISPAT,Niraj Ispat Industries Limited,672,,,,,,
1879,DCMFINSERV,DCM Financial Services Limited,657,,,,,,
1880,LAKPRE,Lakshmi Precision Screws Limited,646,,,,,,
1881,AMJUMBO,A and M Jumbo Bags Limited,635,,,,,,
1882,SABTN,Sri Adhikari Brothers Television Network Limited,629,,,,,,
1883,AILIMITED,Abhishek Integrations Limited,593,,,,,,
1884,HOTELRUGBY,Hotel Rugby Limited,544,,,,,,
1885,BHALCHANDR,Bhalchandram Clothing Limited,476,,,,,,
1886,MELSTAR,Melstar Information Technologies Limited,471,,,,,,
1887,MANAV,Manav Infra Projects Limited,458,,,,,,
1888,GRETEX,Gretex Industries Limited,449,,,,,,
1889,TRANSWIND,Transwind Infrastructures Limited,448,,,,,,
1890,JAINSTUDIO,Jain Studios Limited,182,,,,,,
1891,RAJRILTD,Raj Rayon Industries Limited,41,,,,,,
1892,ABHISHEK,Abhishek Corporation Limited,"* Not Traded as on March 31, 2022",,,,,,
1893,ABMINTLTD,ABM International Limited,"* Not Traded as on March 31, 2022",,,,,,
1894,AHLWEST,Asian Hotels (West) Limited,"* Not Traded as on March 31, 2022",,,,,,
1895,AIFL,Ashapura Intimates Fashion Limited,"* Not Traded as on March 31, 2022",,,,,,
1896,ALCHEM,Alchemist Limited,"* Not Traded as on March 31, 2022",,,,,,
1897,ARCOTECH,Arcotech Limited,"* Not Traded as on March 31, 2022",,,,,,
1898,ASIL,Amit Spinning Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1899,ATCOM,Atcom Technologies Limited,"* Not Traded as on March 31, 2022",,,,,,
1900,ATLASCYCLE,Atlas Cycles (Haryana) Limited,"* Not Traded as on March 31, 2022",,,,,,
1901,ATNINTER,ATN International Limited,"* Not Traded as on March 31, 2022",,,,,,
1902,AUSTRAL,Austral Coke & Projects Limited,"* Not Traded as on March 31, 2022",,,,,,
1903,AUTOLITIND,Autolite (India) Limited,"* Not Traded as on March 31, 2022",,,,,,
1904,BGLOBAL,Bharatiya Global Infomedia Limited,"* Not Traded as on March 31, 2022",,,,,,
1905,BHARATIDIL,Bharati Defence and Infrastructure Limited,"* Not Traded as on March 31, 2022",,,,,,
1906,BILENERGY,Bil Energy Systems Limited,"* Not Traded as on March 31, 2022",,,,,,
1907,BINANIIND,Binani Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1908,BLUEBLENDS,Blue Blends (I) Limited,"* Not Traded as on March 31, 2022",,,,,,
1909,BLUECHIP,Blue Chip India Limited,"* Not Traded as on March 31, 2022",,,,,,
1910,CELESTIAL,Celestial Biolabs Limited,"* Not Traded as on March 31, 2022",,,,,,
1911,CHROMATIC,Chromatic India Limited,"* Not Traded as on March 31, 2022",,,,,,
1912,CKFSL,Cox & Kings Financial Service Limited,"* Not Traded as on March 31, 2022",,,,,,
1913,COX&KINGS,Cox & Kings Limited,"* Not Traded as on March 31, 2022",,,,,,
1914,DALALSTCOM,DSJ Keep Learning Limited,"* Not Traded as on March 31, 2022",,,,,,
1915,DIAPOWER,Diamond Power Infra Ltd,"* Not Traded as on March 31, 2022",,,,,,
1916,DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,"* Not Traded as on March 31, 2022",,,,,,
1917,DQE,DQ Entertainment (International) Limited,"* Not Traded as on March 31, 2022",,,,,,
1918,DRCSYSTEMS,DRC Systems India Limited,"* Not Traded as on March 31, 2022",,,,,,
1919,DSKULKARNI,DS Kulkarni Developers Limited,"* Not Traded as on March 31, 2022",,,,,,
1920,EASTSUGIND,Eastern Sug & Inds Limited,"* Not Traded as on March 31, 2022",,,,,,
1921,EMCO,Emco Limited,"* Not Traded as on March 31, 2022",,,,,,
1922,EON,Eon Electric Limited,"* Not Traded as on March 31, 2022",,,,,,
1923,ESSENTIA,Integra Essentia Limited,"* Not Traded as on March 31, 2022",,,,,,
1924,EUROCERA,Euro Ceramics Limited,"* Not Traded as on March 31, 2022",,,,,,
1925,EUROMULTI,Euro Multivision Limited,"* Not Traded as on March 31, 2022",,,,,,
1926,EUROTEXIND,Eurotex Industries and Exports Limited,"* Not Traded as on March 31, 2022",,,,,,
1927,FEDDERELEC,Fedders Electric and Engineering Limited,"* Not Traded as on March 31, 2022",,,,,,
1928,GAMMONIND,Gammon India Limited,"* Not Traded as on March 31, 2022",,,,,,
1929,GANGOTRI,Gangotri Textiles Limited,"* Not Traded as on March 31, 2022",,,,,,
1930,GAYAHWS,Gayatri Highways Limited,"* Not Traded as on March 31, 2022",,,,,,
1931,GBGLOBAL,GB Global Limited,"* Not Traded as on March 31, 2022",,,,,,
1932,GFSTEELS,Grand Foundry Limited,"* Not Traded as on March 31, 2022",,,,,,
1933,GISOLUTION,GI Engineering Solutions Limited,"* Not Traded as on March 31, 2022",,,,,,
1934,GITANJALI,Gitanjali Gems Limited,"* Not Traded as on March 31, 2022",,,,,,
1935,GVKPIL,GVK Power & Infrastructure Limited,"* Not Traded as on March 31, 2022",,,,,,
1936,ICSA,ICSA (India) Limited,"* Not Traded as on March 31, 2022",,,,,,
1937,IVRCLINFRA,IVRCL Limited,"* Not Traded as on March 31, 2022",,,,,,
1938,JIKIND,JIK Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1939,JINDCOT,Jindal Cotex Limited,"* Not Traded as on March 31, 2022",,,,,,
1940,JMTAUTOLTD,JMT Auto Limited,"* Not Traded as on March 31, 2022",,,,,,
1941,KGL,Karuturi Global Limited,"* Not Traded as on March 31, 2022",,,,,,
1942,KOHINOOR,Kohinoor Foods Limited,"* Not Traded as on March 31, 2022",,,,,,
1943,KSERASERA,KSS Limited,"* Not Traded as on March 31, 2022",,,,,,
1944,KSK,KSK Energy Ventures Limited,"* Not Traded as on March 31, 2022",,,,,,
1945,LAKSHMIEFL,Lakshmi Energy and Foods Limited,"* Not Traded as on March 31, 2022",,,,,,
1946,LEEL,LEEL Electricals Limited,"* Not Traded as on March 31, 2022",,,,,,
1947,MAFATLAFIN,Mafatlal Finance Limited,"* Not Traded as on March 31, 2022",,,,,,
1948,MANPASAND,Manpasand Beverages Limited,"* Not Traded as on March 31, 2022",,,,,,
1949,MCDHOLDING,McDowell Holdings Limited,"* Not Traded as on March 31, 2022",,,,,,
1950,METKORE,Metkore Alloys & Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1951,MODTHREAD,Modern Thread Limited,"* Not Traded as on March 31, 2022",,,,,,
1952,MOHOTAIND,Mohota Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1953,MUKANDENGG,Mukand Engineers Limited,"* Not Traded as on March 31, 2022",,,,,,
1954,MVL,MVL Limited,"* Not Traded as on March 31, 2022",,,,,,
1955,NAKODA,Nakoda Limited,"* Not Traded as on March 31, 2022",,,,,,
1956,NATNLSTEEL,National Steel And Agro Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1957,NITINFIRE,Nitin Fire Protection Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1958,NTL,Neueon Towers Limited,"* Not Traded as on March 31, 2022",,,,,,
1959,NUTEK,Nu Tek India Limited,"* Not Traded as on March 31, 2022",,,,,,
1960,OISL,OCL Iron and Steel Limited,"* Not Traded as on March 31, 2022",,,,,,
1961,OPTOCIRCUI,Opto Circuits (India) Limited,"* Not Traded as on March 31, 2022",,,,,,
1962,ORTEL,Ortel Communications Limited,"* Not Traded as on March 31, 2022",,,,,,
1963,PARASPETRO,Paras Petrofils Limited,"* Not Traded as on March 31, 2022",,,,,,
1964,PDPL,Parenteral Drugs (India) Limited,"* Not Traded as on March 31, 2022",,,,,,
1965,PINCON,Pincon Spirit Limited,"* Not Traded as on March 31, 2022",,,,,,
1966,PRATIBHA,Pratibha Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1967,PRUDMOULI,Prudential Sugar Corporation Limited,"* Not Traded as on March 31, 2022",,,,,,
1968,PSL,PSL Limited,"* Not Traded as on March 31, 2022",,,,,,
1969,QUINTEGRA,Quintegra Solutions Limited,"* Not Traded as on March 31, 2022",,,,,,
1970,RAINBOWPAP,Rainbow Papers Limited,"* Not Traded as on March 31, 2022",,,,,,
1971,RAJVIR,Rajvir Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1972,RAMSARUP,Ramsarup Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1973,REGENCERAM,Regency Ceramics Limited,"* Not Traded as on March 31, 2022",,,,,,
1974,RMMIL,Resurgere Mines & Minerals Limited,"* Not Traded as on March 31, 2022",,,,,,
1975,RUSHABEAR,Rushabh Precision Bearings Limited,"* Not Traded as on March 31, 2022",,,,,,
1976,SATHAISPAT,Sathavahana Ispat Limited,"* Not Traded as on March 31, 2022",,,,,,
1977,SBIHOMEFIN,SBI Home Finance Limited,"* Not Traded as on March 31, 2022",,,,,,
1978,SHARONBIO,Sharon Bio-Medicine Limited,"* Not Traded as on March 31, 2022",,,,,,
1979,SHIRPUR-G,Shirpur Gold Refinery Limited,"* Not Traded as on March 31, 2022",,,,,,
1980,SINTEX,Sintex Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1981,SKIL,SKIL Infrastructure Limited,"* Not Traded as on March 31, 2022",,,,,,
1982,SPCENET,Spacenet Enterprises India Limited,"* Not Traded as on March 31, 2022",,,,,,
1983,SPYL,Shekhawati Poly-Yarn Limited,"* Not Traded as on March 31, 2022",,,,,,
1984,STAMPEDE,Stampede Capital Limited,"* Not Traded as on March 31, 2022",,,,,,
1985,STERLINBIO,Sterling Biotech Limited,"* Not Traded as on March 31, 2022",,,,,,
1986,TALWALKARS,Talwalkars Better Value Fitness Limited,"* Not Traded as on March 31, 2022",,,,,,
1987,TALWGYM,Talwalkars Healthclubs Limited,"* Not Traded as on March 31, 2022",,,,,,
1988,TECHNOFAB,Technofab Engineering Limited,"* Not Traded as on March 31, 2022",,,,,,
1989,TECILCHEM,TECIL Chemicals and Hydro Power Limited,"* Not Traded as on March 31, 2022",,,,,,
1990,THIRUSUGAR,Thiru Arooran Sugars Limited,"* Not Traded as on March 31, 2022",,,,,,
1991,TULSI,Tulsi Extrusions Limited,"* Not Traded as on March 31, 2022",,,,,,
1992,TVVISION,TV Vision Limited,"* Not Traded as on March 31, 2022",,,,,,
1993,UNIPLY,Uniply Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1994,UNITY,Unity Infraprojects Limited,"* Not Traded as on March 31, 2022",,,,,,
1995,VALECHAENG,Valecha Engineering Limited,"* Not Traded as on March 31, 2022",,,,,,
1996,VALUEIND,Value Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1997,VIDEOIND,Videocon Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
1998,VISUINTL,Visu International Limited,"* Not Traded as on March 31, 2022",,,,,,
1999,WINSOME,Winsome Yarns Limited,"* Not Traded as on March 31, 2022",,,,,,
2000,WSI,W S Industries (I) Limited,"* Not Traded as on March 31, 2022",,,,,,
2001,ZICOM,Zicom Electronic Security Systems Limited,"* Not Traded as on March 31, 2022",,,,,,
2002,ARTEDZ,Artedz Fabs Limited,"* Not Traded as on March 31, 2022",,,,,,
2003,BANSAL,Bansal Multiflex Limited,"* Not Traded as on March 31, 2022",,,,,,
2004,BOHRA,Bohra Industries Limited,"* Not Traded as on March 31, 2022",,,,,,
2005,CKPLEISURE,CKP Leisure Limited,"* Not Traded as on March 31, 2022",,,,,,
2006,FIVECORE,Five Core Electronics Limited,"* Not Traded as on March 31, 2022",,,,,,
2007,FOURTHDIM,Fourth Dimension Solutions Limited,"* Not Traded as on March 31, 2022",,,,,,
2008,OPAL,Opal Luxury Time Products Limited,"* Not Traded as on March 31, 2022",,,,,,
2009,POWERFUL,Powerful Technologies Limited,"* Not Traded as on March 31, 2022",,,,,,
2010,SIIL,Supreme (India) Impex Limited,"* Not Traded as on March 31, 2022",,,,,,
2011,SONISOYA,Soni Soya Products Limited,"* Not Traded as on March 31, 2022",,,,,,
2012,VASA,Vasa Retail and Overseas Ltd,"* Not Traded as on March 31, 2022",,,,,,
,,,,,,,,,
"Note: Kindly refer regulation 15 to 27 of SEBI (Listing Obligation and Disclosure Requirments) Regulations, 2015 for determining the applicability of other provisions of Corporate Governance.

* The list includes companies which are either suspended due to Capital Reduction/ALF/GSM/non-compliance etc.",,,,,,,,,
